,UNITID_P,INSTNM,BRANCH,State,Sector_desc,men_total,women_total,Total,MURD10,NEG_M10,FORCIB10,NONFOR10,ROBBE10,AGG_A10,BURGLA10,VEHIC10,ARSON10,MURD11,NEG_M11,FORCIB11,NONFOR11,ROBBE11,AGG_A11,BURGLA11,VEHIC11,ARSON11,MURD12,NEG_M12,FORCIB12,NONFOR12,ROBBE12,AGG_A12,BURGLA12,VEHIC12,ARSON12,FILTER10,FILTER11,FILTER12
0,110635001,University of California-Berkeley,Main Campus,CA,"Public, 4-year or above",17800.0,18093.0,35893.0,0.0,0.0,6.0,0.0,14.0,8.0,63.0,13.0,9.0,0.0,0.0,30.0,1.0,9.0,7.0,40.0,14.0,6.0,0,0,13,1,18,4,69,9,3,1,1,1
1,204796001,Ohio State University-Main Campus,Main Campus,OH,"Public, 4-year or above",29038.0,27349.0,56387.0,1.0,0.0,12.0,0.0,11.0,5.0,147.0,11.0,8.0,0.0,0.0,28.0,0.0,7.0,0.0,22.0,8.0,6.0,0,0,21,0,2,4,22,8,7,1,1,1
2,214777001,Pennsylvania State University-Main Campus,University Park Campus,PA,"Public, 4-year or above",24672.0,21111.0,45783.0,0.0,0.0,4.0,0.0,2.0,3.0,58.0,1.0,14.0,0.0,0.0,24.0,0.0,2.0,6.0,112.0,1.0,11.0,0,0,56,0,2,12,48,1,3,1,1,1
3,240444001,University of Wisconsin-Madison,Main Campus,WI,"Public, 4-year or above",20601.0,21668.0,42269.0,0.0,0.0,9.0,0.0,3.0,1.0,57.0,9.0,3.0,0.0,0.0,24.0,0.0,2.0,3.0,32.0,3.0,1.0,0,0,15,0,2,2,33,1,0,1,1,1
4,110644001,University of California-Davis,Main Campus,CA,"Public, 4-year or above",14743.0,17611.0,32354.0,0.0,0.0,14.0,0.0,1.0,4.0,71.0,9.0,2.0,0.0,0.0,22.0,0.0,4.0,1.0,79.0,8.0,1.0,0,0,15,0,1,5,45,5,5,1,1,1
5,166027001,Harvard University,Cambridge Campus,MA,"Private nonprofit, 4-year or above",14293.0,13854.0,28147.0,0.0,0.0,31.0,4.0,8.0,5.0,35.0,3.0,0.0,0.0,0.0,21.0,0.0,1.0,7.0,24.0,3.0,0.0,0,0,31,0,1,2,34,3,1,1,1,1
6,130794001,Yale University,Main Campus,CT,"Private nonprofit, 4-year or above",5993.0,5913.0,11906.0,0.0,0.0,10.0,0.0,3.0,0.0,29.0,2.0,0.0,0.0,0.0,18.0,0.0,4.0,3.0,28.0,11.0,3.0,0,0,16,0,4,4,38,7,0,1,1,1
7,183044001,University of New Hampshire-Main Campus,Main Campus,NH,"Public, 4-year or above",6909.0,8358.0,15267.0,0.0,0.0,12.0,0.0,1.0,4.0,8.0,3.0,1.0,0.0,0.0,18.0,0.0,1.0,8.0,9.0,6.0,1.0,0,0,20,0,1,6,7,0,3,1,1,1
8,102614001,University of Alaska Fairbanks,University of Alaska Fairbanks,AK,"Public, 4-year or above",3879.0,5344.0,9223.0,0.0,0.0,5.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,17.0,2.0,0.0,2.0,2.0,1.0,0.0,0,0,4,0,0,1,9,0,0,1,1,1
9,217484001,University of Rhode Island,Main Campus,RI,"Public, 4-year or above",7413.0,9038.0,16451.0,0.0,0.0,9.0,0.0,3.0,0.0,19.0,3.0,2.0,0.0,0.0,17.0,1.0,1.0,3.0,49.0,2.0,1.0,0,0,11,0,1,2,60,3,0,1,1,1
10,186131001,Princeton University,Main Campus,NJ,"Private nonprofit, 4-year or above",4384.0,3591.0,7975.0,0.0,0.0,13.0,0.0,0.0,1.0,30.0,4.0,5.0,0.0,0.0,16.0,0.0,0.0,1.0,30.0,0.0,0.0,0,0,17,0,0,0,27,0,0,1,1,1
